




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (4271)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	1528	426	316.88	+	1.34	4.30E-08	2.42E-06
negative regulation of translation (GO:0017148)	184	82	38.16	+	2.15	4.34E-08	2.43E-06
Golgi vesicle transport (GO:0048193)	398	143	82.54	+	1.73	4.92E-08	2.75E-06
ATP metabolic process (GO:0046034)	206	88	42.72	+	2.06	5.63E-08	3.13E-06
positive regulation of cellular process (GO:0048522)	5741	1368	1190.57	+	1.15	6.07E-08	3.37E-06
regulation of proteolysis involved in cellular protein catabolic process (GO:1903050)	222	93	46.04	+	2.02	6.48E-08	3.58E-06
negative regulation of response to external stimulus (GO:0032102)	559	59	115.93	-	.51	7.50E-08	4.13E-06
leukocyte migration (GO:0050900)	379	33	78.60	-	.42	7.65E-08	4.20E-06
mRNA 3'-end processing (GO:0031124)	88	50	18.25	+	2.74	8.04E-08	4.38E-06
DNA recombination (GO:0006310)	225	93	46.66	+	1.99	8.02E-08	4.38E-06
energy derivation by oxidation of organic compounds (GO:0015980)	256	102	53.09	+	1.92	8.94E-08	4.84E-06
B cell receptor signaling pathway (GO:0050853)	129	3	26.75	-	.11	8.91E-08	4.84E-06
mitotic nuclear division (GO:0140014)	201	86	41.68	+	2.06	9.02E-08	4.86E-06
locomotion (GO:0040011)	1345	190	278.93	-	.68	1.04E-07	5.58E-06
positive regulation of biosynthetic process (GO:0009891)	2004	534	415.59	+	1.28	1.09E-07	5.83E-06
negative regulation of cellular amide metabolic process (GO:0034249)	206	87	42.72	+	2.04	1.23E-07	6.59E-06
chromosome segregation (GO:0007059)	286	110	59.31	+	1.85	1.25E-07	6.65E-06
negative regulation of mitotic cell cycle (GO:0045930)	294	112	60.97	+	1.84	1.28E-07	6.79E-06
regulation of proteasomal protein catabolic process (GO:0061136)	187	81	38.78	+	2.09	1.28E-07	6.81E-06
regulation of signal transduction by p53 class mediator (GO:1901796)	201	85	41.68	+	2.04	1.39E-07	7.34E-06
DNA-dependent DNA replication (GO:0006261)	195	83	40.44	+	2.05	1.48E-07	7.78E-06
RNA methylation (GO:0001510)	88	49	18.25	+	2.69	1.53E-07	8.01E-06
spindle organization (GO:0007051)	224	92	46.45	+	1.98	1.60E-07	8.37E-06
regulation of G2/M transition of mitotic cell cycle (GO:0010389)	212	88	43.96	+	2.00	1.77E-07	9.17E-06
regulation of organelle organization (GO:0033043)	1208	344	250.52	+	1.37	1.77E-07	9.18E-06
positive regulation of catabolic process (GO:0009896)	519	172	107.63	+	1.60	2.09E-07	1.08E-05
cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	258	18	53.50	-	.34	2.12E-07	1.09E-05
regulation of immune system process (GO:0002682)	1717	258	356.07	-	.72	2.34E-07	1.20E-05
protein alkylation (GO:0008213)	131	63	27.17	+	2.32	2.43E-07	1.24E-05
protein methylation (GO:0006479)	131	63	27.17	+	2.32	2.43E-07	1.24E-05
immune system process (GO:0002376)	2903	477	602.03	-	.79	2.52E-07	1.28E-05
DNA conformation change (GO:0071103)	312	116	64.70	+	1.79	2.62E-07	1.33E-05
regulation of cell cycle G2/M phase transition (GO:1902749)	222	90	46.04	+	1.95	3.09E-07	1.56E-05
ribosome assembly (GO:0042255)	62	39	12.86	+	3.03	3.60E-07	1.81E-05
tissue development (GO:0009888)	1729	262	358.56	-	.73	3.64E-07	1.83E-05
microtubule-based process (GO:0007017)	806	243	167.15	+	1.45	3.92E-07	1.96E-05
regulation of cellular protein catabolic process (GO:1903362)	256	99	53.09	+	1.86	3.95E-07	1.97E-05
regulation of protein catabolic process (GO:0042176)	398	138	82.54	+	1.67	4.17E-07	2.07E-05
ion transport (GO:0006811)	1200	169	248.86	-	.68	5.06E-07	2.51E-05
positive regulation of chromosome organization (GO:2001252)	182	77	37.74	+	2.04	5.09E-07	2.52E-05
oxidative phosphorylation (GO:0006119)	120	58	24.89	+	2.33	6.22E-07	3.06E-05
organelle localization (GO:0051640)	609	192	126.29	+	1.52	6.71E-07	3.29E-05
regulation of protein modification by small protein conjugation or removal (GO:1903320)	245	95	50.81	+	1.87	6.75E-07	3.31E-05
positive regulation of cellular catabolic process (GO:0031331)	450	151	93.32	+	1.62	7.29E-07	3.56E-05
organelle fission (GO:0048285)	369	129	76.52	+	1.69	7.44E-07	3.62E-05
mitotic spindle organization (GO:0007052)	163	71	33.80	+	2.10	7.52E-07	3.65E-05
RNA phosphodiester bond hydrolysis (GO:0090501)	164	71	34.01	+	2.09	8.10E-07	3.91E-05
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	184	77	38.16	+	2.02	8.30E-07	4.00E-05
external encapsulating structure organization (GO:0045229)	386	37	80.05	-	.46	8.96E-07	4.30E-05
ncRNA transcription (GO:0098781)	94	49	19.49	+	2.51	9.71E-07	4.65E-05
positive regulation of mRNA metabolic process (GO:1903313)	136	62	28.20	+	2.20	9.75E-07	4.65E-05
positive regulation of organelle organization (GO:0010638)	605	190	125.47	+	1.51	9.95E-07	4.74E-05
cell surface receptor signaling pathway (GO:0007166)	2495	407	517.41	-	.79	1.09E-06	5.18E-05
negative regulation of defense response (GO:0031348)	402	40	83.37	-	.48	1.15E-06	5.43E-05
extracellular matrix organization (GO:0030198)	383	37	79.43	-	.47	1.15E-06	5.44E-05
process utilizing autophagic mechanism (GO:0061919)	309	112	64.08	+	1.75	1.18E-06	5.54E-05
autophagy (GO:0006914)	309	112	64.08	+	1.75	1.18E-06	5.56E-05
mitochondrial respiratory chain complex assembly (GO:0033108)	101	51	20.95	+	2.43	1.23E-06	5.73E-05
B cell mediated immunity (GO:0019724)	205	13	42.51	-	.31	1.27E-06	5.93E-05
lymphocyte mediated immunity (GO:0002449)	259	20	53.71	-	.37	1.33E-06	6.14E-05
respiratory electron transport chain (GO:0022904)	112	54	23.23	+	2.32	1.32E-06	6.15E-05
regulation of ubiquitin-dependent protein catabolic process (GO:2000058)	166	71	34.43	+	2.06	1.41E-06	6.51E-05
DNA-templated transcription, termination (GO:0006353)	79	43	16.38	+	2.62	1.46E-06	6.72E-05
cell migration (GO:0016477)	968	132	200.74	-	.66	1.61E-06	7.40E-05
protein folding (GO:0006457)	233	90	48.32	+	1.86	1.61E-06	7.40E-05
sister chromatid segregation (GO:0000819)	149	65	30.90	+	2.10	1.69E-06	7.74E-05
extracellular structure organization (GO:0043062)	384	38	79.63	-	.48	1.76E-06	8.00E-05
calcium ion homeostasis (GO:0055074)	438	46	90.83	-	.51	1.81E-06	8.20E-05
regulation of gene silencing (GO:0060968)	116	55	24.06	+	2.29	1.86E-06	8.41E-05
regulation of immune response (GO:0050776)	1183	170	245.33	-	.69	2.00E-06	9.02E-05
ion transmembrane transport (GO:0034220)	870	116	180.42	-	.64	2.01E-06	9.04E-05
regulation of cytosolic calcium ion concentration (GO:0051480)	321	29	66.57	-	.44	2.06E-06	9.25E-05
regulation of mRNA processing (GO:0050684)	140	62	29.03	+	2.14	2.08E-06	9.31E-05
opsonization (GO:0008228)	72	0	14.93	-	 < 0.01	2.14E-06	9.55E-05
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002460)	269	22	55.79	-	.39	2.25E-06	1.00E-04
regulation of immune effector process (GO:0002697)	435	46	90.21	-	.51	2.30E-06	1.02E-04
regulation of transcription from RNA polymerase II promoter in response to stress (GO:0043618)	112	53	23.23	+	2.28	2.32E-06	1.03E-04
ATP synthesis coupled electron transport (GO:0042773)	93	47	19.29	+	2.44	2.49E-06	1.09E-04
immunoglobulin mediated immune response (GO:0016064)	201	13	41.68	-	.31	2.51E-06	1.10E-04
mitochondrial ATP synthesis coupled electron transport (GO:0042775)	93	47	19.29	+	2.44	2.49E-06	1.10E-04
tRNA modification (GO:0006400)	93	47	19.29	+	2.44	2.49E-06	1.10E-04
snRNA transcription by RNA polymerase II (GO:0042795)	70	39	14.52	+	2.69	2.67E-06	1.16E-04
aerobic electron transport chain (GO:0019646)	88	45	18.25	+	2.47	2.73E-06	1.19E-04
regulation of protein ubiquitination (GO:0031396)	213	83	44.17	+	1.88	2.74E-06	1.19E-04
viral life cycle (GO:0019058)	230	88	47.70	+	1.84	2.85E-06	1.23E-04
RNA destabilization (GO:0050779)	94	47	19.49	+	2.41	2.87E-06	1.24E-04
mRNA destabilization (GO:0061157)	90	46	18.66	+	2.46	3.06E-06	1.32E-04
cell-cell adhesion (GO:0098609)	515	59	106.80	-	.55	3.09E-06	1.33E-04
nuclear division (GO:0000280)	339	118	70.30	+	1.68	3.14E-06	1.35E-04
negative regulation of RNA metabolic process (GO:0051253)	1408	381	291.99	+	1.30	3.17E-06	1.35E-04
cellular calcium ion homeostasis (GO:0006874)	425	45	88.14	-	.51	3.23E-06	1.37E-04
negative regulation of immune response (GO:0050777)	373	37	77.35	-	.48	3.26E-06	1.38E-04
sensory perception of taste (GO:0050909)	69	0	14.31	-	 < 0.01	3.29E-06	1.39E-04
chromatin remodeling (GO:0006338)	173	71	35.88	+	1.98	3.35E-06	1.42E-04
regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032434)	135	60	28.00	+	2.14	3.38E-06	1.42E-04
neuropeptide signaling pathway (GO:0007218)	109	3	22.60	-	.13	3.37E-06	1.42E-04
regulation of gene silencing by RNA (GO:0060966)	97	48	20.12	+	2.39	3.76E-06	1.58E-04
positive regulation of biological process (GO:0048518)	6331	1468	1312.93	+	1.12	3.81E-06	1.59E-04
biological process involved in interspecies interaction between organisms (GO:0044419)	1593	246	330.36	-	.74	4.25E-06	1.77E-04
negative regulation of multicellular organismal process (GO:0051241)	1014	143	210.28	-	.68	4.27E-06	1.78E-04
regulation of response to DNA damage stimulus (GO:2001020)	223	85	46.25	+	1.84	4.30E-06	1.78E-04
phagocytosis, recognition (GO:0006910)	106	3	21.98	-	.14	4.84E-06	2.00E-04
cell cycle checkpoint signaling (GO:0000075)	188	75	38.99	+	1.92	4.90E-06	2.02E-04
adenylate cyclase-activating G protein-coupled receptor signaling pathway (GO:0007189)	134	6	27.79	-	.22	4.98E-06	2.04E-04
response to biotic stimulus (GO:0009607)	1547	238	320.82	-	.74	4.97E-06	2.05E-04
cell cycle phase transition (GO:0044770)	270	98	55.99	+	1.75	5.12E-06	2.10E-04
snRNA transcription (GO:0009301)	71	39	14.72	+	2.65	5.15E-06	2.10E-04
regulation of DNA-templated transcription in response to stress (GO:0043620)	118	54	24.47	+	2.21	5.63E-06	2.28E-04
regulation of posttranscriptional gene silencing (GO:0060147)	96	47	19.91	+	2.36	5.61E-06	2.28E-04
protein localization to mitochondrion (GO:0070585)	85	43	17.63	+	2.44	5.63E-06	2.29E-04
regulation of humoral immune response (GO:0002920)	142	7	29.45	-	.24	5.86E-06	2.37E-04
nucleosome organization (GO:0034728)	156	65	32.35	+	2.01	6.01E-06	2.42E-04
microtubule cytoskeleton organization (GO:0000226)	567	175	117.58	+	1.49	6.44E-06	2.59E-04
RNA phosphodiester bond hydrolysis, exonucleolytic (GO:0090503)	42	28	8.71	+	3.21	7.11E-06	2.85E-04
nuclear chromosome segregation (GO:0098813)	227	85	47.08	+	1.81	7.28E-06	2.91E-04
mitotic cell cycle phase transition (GO:0044772)	262	95	54.33	+	1.75	7.28E-06	2.91E-04
divalent inorganic cation homeostasis (GO:0072507)	481	55	99.75	-	.55	7.49E-06	2.98E-04
establishment of localization (GO:0051234)	4631	1097	960.38	+	1.14	7.68E-06	3.05E-04
regulation of system process (GO:0044057)	585	72	121.32	-	.59	7.83E-06	3.10E-04
positive regulation of mRNA catabolic process (GO:0061014)	105	49	21.77	+	2.25	8.07E-06	3.19E-04
chemotaxis (GO:0006935)	547	66	113.44	-	.58	8.20E-06	3.23E-04
macroautophagy (GO:0016236)	199	77	41.27	+	1.87	8.43E-06	3.31E-04
regulation of cell activation (GO:0050865)	664	85	137.70	-	.62	8.92E-06	3.50E-04
double-strand break repair via homologous recombination (GO:0000724)	101	48	20.95	+	2.29	8.97E-06	3.51E-04
response to endoplasmic reticulum stress (GO:0034976)	260	94	53.92	+	1.74	9.30E-06	3.63E-04
trans-synaptic signaling (GO:0099537)	432	48	89.59	-	.54	9.85E-06	3.83E-04
phospholipase C-activating G protein-coupled receptor signaling pathway (GO:0007200)	100	3	20.74	-	.14	1.04E-05	4.02E-04
recombinational repair (GO:0000725)	103	48	21.36	+	2.25	1.08E-05	4.17E-04
cell motility (GO:0048870)	1109	162	229.98	-	.70	1.09E-05	4.20E-04
localization of cell (GO:0051674)	1109	162	229.98	-	.70	1.09E-05	4.21E-04
peptide cross-linking (GO:0018149)	102	3	21.15	-	.14	1.11E-05	4.26E-04
positive regulation of proteasomal protein catabolic process (GO:1901800)	115	52	23.85	+	2.18	1.11E-05	4.26E-04
taxis (GO:0042330)	550	67	114.06	-	.59	1.12E-05	4.27E-04
keratinocyte differentiation (GO:0030216)	270	24	55.99	-	.43	1.12E-05	4.29E-04
epithelium development (GO:0060429)	1113	163	230.81	-	.71	1.14E-05	4.32E-04
mitochondrial RNA metabolic process (GO:0000959)	41	27	8.50	+	3.18	1.18E-05	4.47E-04
nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:0000288)	60	34	12.44	+	2.73	1.19E-05	4.49E-04
detection of external stimulus (GO:0009581)	137	7	28.41	-	.25	1.19E-05	4.49E-04
regulation of gene silencing by miRNA (GO:0060964)	94	45	19.49	+	2.31	1.26E-05	4.74E-04
positive regulation of cytosolic calcium ion concentration (GO:0007204)	283	26	58.69	-	.44	1.30E-05	4.89E-04
regulation of cellular response to heat (GO:1900034)	79	40	16.38	+	2.44	1.32E-05	4.96E-04
protein acylation (GO:0043543)	178	70	36.91	+	1.90	1.34E-05	5.02E-04
regulation of transcription by RNA polymerase II (GO:0006357)	2595	645	538.15	+	1.20	1.37E-05	5.13E-04
regulation of lymphocyte activation (GO:0051249)	536	65	111.16	-	.58	1.41E-05	5.24E-04
positive regulation of translation (GO:0045727)	137	58	28.41	+	2.04	1.41E-05	5.24E-04
cellular divalent inorganic cation homeostasis (GO:0072503)	460	53	95.39	-	.56	1.44E-05	5.35E-04
epithelial cell differentiation (GO:0030855)	686	90	142.26	-	.63	1.58E-05	5.86E-04
positive regulation of transcription, DNA-templated (GO:0045893)	1628	425	337.62	+	1.26	1.62E-05	5.95E-04
peptidyl-lysine methylation (GO:0018022)	86	42	17.83	+	2.35	1.61E-05	5.96E-04
positive regulation of nucleic acid-templated transcription (GO:1903508)	1628	425	337.62	+	1.26	1.62E-05	5.96E-04
positive regulation of RNA biosynthetic process (GO:1902680)	1629	425	337.82	+	1.26	1.63E-05	5.97E-04
mitotic sister chromatid segregation (GO:0000070)	121	53	25.09	+	2.11	1.71E-05	6.27E-04
positive regulation of proteolysis involved in cellular protein catabolic process (GO:1903052)	134	57	27.79	+	2.05	1.75E-05	6.36E-04
maturation of 5.8S rRNA (GO:0000460)	35	24	7.26	+	3.31	1.75E-05	6.37E-04
intracellular transport of virus (GO:0075733)	54	31	11.20	+	2.77	1.78E-05	6.46E-04
establishment of protein localization to mitochondrion (GO:0072655)	77	39	15.97	+	2.44	1.78E-05	6.46E-04
ATP-dependent chromatin remodeling (GO:0043044)	77	39	15.97	+	2.44	1.78E-05	6.48E-04
anaphase-promoting complex-dependent catabolic process (GO:0031145)	87	42	18.04	+	2.33	1.85E-05	6.65E-04
regulation of complement activation (GO:0030449)	118	5	24.47	-	.20	1.85E-05	6.66E-04
leukocyte chemotaxis (GO:0030595)	143	8	29.66	-	.27	1.87E-05	6.72E-04
regulation of leukocyte activation (GO:0002694)	622	80	128.99	-	.62	1.90E-05	6.83E-04
multi-organism transport (GO:0044766)	63	34	13.06	+	2.60	1.93E-05	6.88E-04
multi-organism localization (GO:1902579)	63	34	13.06	+	2.60	1.93E-05	6.90E-04
termination of RNA polymerase II transcription (GO:0006369)	40	26	8.30	+	3.13	1.96E-05	6.96E-04
regulation of transcription from RNA polymerase II promoter in response to hypoxia (GO:0061418)	78	39	16.18	+	2.41	2.04E-05	7.25E-04
DNA-templated transcription, initiation (GO:0006352)	195	74	40.44	+	1.83	2.06E-05	7.29E-04
regulation of cell migration (GO:0030334)	892	126	184.98	-	.68	2.12E-05	7.48E-04
regulation of DNA repair (GO:0006282)	130	55	26.96	+	2.04	2.15E-05	7.59E-04
mitotic cell cycle checkpoint signaling (GO:0007093)	159	64	32.97	+	1.94	2.25E-05	7.93E-04
regulation of cell motility (GO:2000145)	954	137	197.84	-	.69	2.27E-05	7.97E-04
inorganic ion transmembrane transport (GO:0098660)	637	83	132.10	-	.63	2.41E-05	8.39E-04
phagocytosis, engulfment (GO:0006911)	132	7	27.37	-	.26	2.40E-05	8.40E-04
regulation of locomotion (GO:0040012)	997	145	206.76	-	.70	2.40E-05	8.40E-04
protein localization to nucleus (GO:0034504)	168	66	34.84	+	1.89	2.47E-05	8.57E-04
epidermis development (GO:0008544)	422	48	87.51	-	.55	2.46E-05	8.57E-04
transport of virus (GO:0046794)	61	33	12.65	+	2.61	2.55E-05	8.85E-04
mitochondrial electron transport, NADH to ubiquinone (GO:0006120)	49	29	10.16	+	2.85	2.62E-05	9.08E-04
anterograde trans-synaptic signaling (GO:0098916)	414	47	85.86	-	.55	2.73E-05	9.40E-04
chemical synaptic transmission (GO:0007268)	414	47	85.86	-	.55	2.73E-05	9.42E-04
synaptic signaling (GO:0099536)	464	55	96.22	-	.57	2.77E-05	9.52E-04
regulation of protein stability (GO:0031647)	306	104	63.46	+	1.64	2.87E-05	9.85E-04
nucleotide-excision repair (GO:0006289)	104	47	21.57	+	2.18	2.91E-05	9.94E-04
amino acid activation (GO:0043038)	50	29	10.37	+	2.80	3.13E-05	1.07E-03
skin development (GO:0043588)	385	43	79.84	-	.54	3.30E-05	1.12E-03
regulation of cytokine production (GO:0001817)	748	103	155.12	-	.66	3.73E-05	1.27E-03
blood circulation (GO:0008015)	390	44	80.88	-	.54	3.74E-05	1.27E-03
detection of abiotic stimulus (GO:0009582)	139	8	28.83	-	.28	3.77E-05	1.28E-03
regulation of interferon-gamma production (GO:0032649)	113	5	23.43	-	.21	3.81E-05	1.29E-03
chromatin assembly or disassembly (GO:0006333)	170	66	35.25	+	1.87	3.85E-05	1.30E-03
cell differentiation (GO:0030154)	3575	632	741.39	-	.85	4.05E-05	1.36E-03
antimicrobial humoral response (GO:0019730)	154	10	31.94	-	.31	4.11E-05	1.38E-03
positive regulation of cell cycle (GO:0045787)	310	104	64.29	+	1.62	4.20E-05	1.41E-03
histone methylation (GO:0016571)	91	42	18.87	+	2.23	4.28E-05	1.43E-03
regulation of hematopoietic progenitor cell differentiation (GO:1901532)	91	42	18.87	+	2.23	4.28E-05	1.43E-03
generation of precursor metabolites and energy (GO:0006091)	403	128	83.57	+	1.53	4.36E-05	1.45E-03
regulation of telomere maintenance (GO:0032204)	81	39	16.80	+	2.32	4.45E-05	1.48E-03
regulation of ion transmembrane transport (GO:0034765)	502	62	104.10	-	.60	4.49E-05	1.49E-03
mitochondrial respiratory chain complex I assembly (GO:0032981)	66	34	13.69	+	2.48	4.54E-05	1.50E-03
NADH dehydrogenase complex assembly (GO:0010257)	66	34	13.69	+	2.48	4.54E-05	1.50E-03
animal organ morphogenesis (GO:0009887)	956	140	198.26	-	.71	4.90E-05	1.61E-03
post-translational protein modification (GO:0043687)	361	117	74.86	+	1.56	4.91E-05	1.61E-03
protein acetylation (GO:0006473)	138	56	28.62	+	1.96	5.02E-05	1.65E-03
tRNA aminoacylation (GO:0043039)	49	28	10.16	+	2.76	5.09E-05	1.67E-03
positive regulation of protein catabolic process (GO:0045732)	237	84	49.15	+	1.71	5.13E-05	1.67E-03
cell-cell signaling (GO:0007267)	1131	171	234.55	-	.73	5.24E-05	1.71E-03
peptidyl-lysine acetylation (GO:0018394)	119	50	24.68	+	2.03	5.71E-05	1.86E-03
response to ionizing radiation (GO:0010212)	148	59	30.69	+	1.92	5.75E-05	1.87E-03
DNA integrity checkpoint signaling (GO:0031570)	150	59	31.11	+	1.90	6.46E-05	2.09E-03
regulation of hematopoietic stem cell differentiation (GO:1902036)	74	36	15.35	+	2.35	6.47E-05	2.09E-03
cell cycle G2/M phase transition (GO:0044839)	143	57	29.66	+	1.92	6.54E-05	2.10E-03
monocarboxylic acid transport (GO:0015718)	100	4	20.74	-	.19	6.54E-05	2.10E-03
positive regulation of protein metabolic process (GO:0051247)	1562	403	323.93	+	1.24	6.53E-05	2.10E-03
mitochondrial transport (GO:0006839)	235	83	48.73	+	1.70	6.52E-05	2.10E-03
post-Golgi vesicle-mediated transport (GO:0006892)	136	55	28.20	+	1.95	6.58E-05	2.11E-03
telomere organization (GO:0032200)	103	45	21.36	+	2.11	6.79E-05	2.17E-03
DNA geometric change (GO:0032392)	110	47	22.81	+	2.06	7.18E-05	2.29E-03
positive regulation of cellular amide metabolic process (GO:0034250)	168	64	34.84	+	1.84	7.22E-05	2.30E-03
regulation of macroautophagy (GO:0016241)	161	62	33.39	+	1.86	7.48E-05	2.38E-03
regulation of cellular component movement (GO:0051270)	1032	155	214.02	-	.72	7.87E-05	2.49E-03
potassium ion transmembrane transport (GO:0071805)	158	11	32.77	-	.34	8.19E-05	2.59E-03
localization (GO:0051179)	5831	1338	1209.24	+	1.11	8.32E-05	2.62E-03
circulatory system process (GO:0003013)	481	60	99.75	-	.60	8.43E-05	2.65E-03
negative regulation of catabolic process (GO:0009895)	317	104	65.74	+	1.58	8.53E-05	2.68E-03
regulation of response to external stimulus (GO:0032101)	1199	185	248.65	-	.74	8.52E-05	2.68E-03
G2/M transition of mitotic cell cycle (GO:0000086)	141	56	29.24	+	1.92	8.55E-05	2.68E-03
positive regulation of cellular protein catabolic process (GO:1903364)	156	60	32.35	+	1.85	8.82E-05	2.75E-03
positive regulation of immune system process (GO:0002684)	1069	162	221.69	-	.73	8.88E-05	2.77E-03
epidermal cell differentiation (GO:0009913)	322	35	66.78	-	.52	9.44E-05	2.93E-03
negative regulation of cellular catabolic process (GO:0031330)	257	88	53.30	+	1.65	9.44E-05	2.93E-03
transport (GO:0006810)	4476	1046	928.23	+	1.13	9.43E-05	2.93E-03
positive regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032436)	91	41	18.87	+	2.17	1.04E-04	3.21E-03
regulation of stem cell differentiation (GO:2000736)	116	48	24.06	+	2.00	1.08E-04	3.33E-03
tRNA aminoacylation for protein translation (GO:0006418)	46	26	9.54	+	2.73	1.10E-04	3.40E-03
regulation of cellular component organization (GO:0051128)	2390	587	495.64	+	1.18	1.13E-04	3.48E-03
ncRNA export from nucleus (GO:0097064)	38	23	7.88	+	2.92	1.16E-04	3.56E-03
regulation of autophagy (GO:0010506)	331	107	68.64	+	1.56	1.17E-04	3.58E-03
telomere maintenance (GO:0000723)	99	43	20.53	+	2.09	1.20E-04	3.66E-03
positive regulation of cellular protein metabolic process (GO:0032270)	1474	380	305.68	+	1.24	1.21E-04	3.69E-03
microtubule organizing center organization (GO:0031023)	100	43	20.74	+	2.07	1.31E-04	4.00E-03
regulation of RNA splicing (GO:0043484)	150	58	31.11	+	1.86	1.32E-04	4.01E-03
response to topologically incorrect protein (GO:0035966)	191	69	39.61	+	1.74	1.32E-04	4.02E-03
spliceosomal complex assembly (GO:0000245)	56	29	11.61	+	2.50	1.37E-04	4.15E-03
positive regulation of DNA metabolic process (GO:0051054)	202	72	41.89	+	1.72	1.40E-04	4.23E-03
maturation of LSU-rRNA (GO:0000470)	28	19	5.81	+	3.27	1.42E-04	4.28E-03
potassium ion transport (GO:0006813)	167	13	34.63	-	.38	1.43E-04	4.30E-03
cation transmembrane transport (GO:0098655)	641	88	132.93	-	.66	1.46E-04	4.39E-03
regulation of telomere maintenance via telomere lengthening (GO:1904356)	62	31	12.86	+	2.41	1.47E-04	4.42E-03
negative regulation of cellular protein metabolic process (GO:0032269)	1040	278	215.68	+	1.29	1.49E-04	4.46E-03
cell chemotaxis (GO:0060326)	203	18	42.10	-	.43	1.50E-04	4.48E-03
protein insertion into membrane (GO:0051205)	72	34	14.93	+	2.28	1.53E-04	4.56E-03
endosomal transport (GO:0016197)	235	81	48.73	+	1.66	1.59E-04	4.74E-03
mitochondrial membrane organization (GO:0007006)	146	56	30.28	+	1.85	1.62E-04	4.82E-03
positive regulation of ion transport (GO:0043270)	297	32	61.59	-	.52	1.62E-04	4.82E-03
establishment of organelle localization (GO:0051656)	398	123	82.54	+	1.49	1.63E-04	4.83E-03
endocytosis (GO:0006897)	569	76	118.00	-	.64	1.66E-04	4.89E-03
negative regulation of nucleic acid-templated transcription (GO:1903507)	1299	338	269.39	+	1.25	1.65E-04	4.89E-03
vesicle organization (GO:0016050)	313	101	64.91	+	1.56	1.70E-04	5.01E-03
endomembrane system organization (GO:0010256)	530	156	109.91	+	1.42	1.72E-04	5.05E-03
negative regulation of chromosome organization (GO:2001251)	79	36	16.38	+	2.20	1.74E-04	5.10E-03
positive regulation of interferon-gamma production (GO:0032729)	74	2	15.35	-	.13	1.75E-04	5.11E-03
positive regulation of cellular component organization (GO:0051130)	1161	306	240.77	+	1.27	1.76E-04	5.14E-03
lymphocyte chemotaxis (GO:0048247)	49	0	10.16	-	 < 0.01	1.78E-04	5.19E-03
DNA duplex unwinding (GO:0032508)	105	44	21.77	+	2.02	1.80E-04	5.25E-03
animal organ development (GO:0048513)	3220	572	667.76	-	.86	1.82E-04	5.29E-03
negative regulation of biological process (GO:0048519)	5501	1261	1140.80	+	1.11	1.83E-04	5.31E-03
positive regulation of ERK1 and ERK2 cascade (GO:0070374)	207	19	42.93	-	.44	1.85E-04	5.35E-03
regulation of chromatin organization (GO:1902275)	211	74	43.76	+	1.69	1.86E-04	5.39E-03
negative regulation of RNA biosynthetic process (GO:1902679)	1301	338	269.80	+	1.25	1.91E-04	5.50E-03
protein import (GO:0017038)	158	59	32.77	+	1.80	1.94E-04	5.60E-03
protein K48-linked ubiquitination (GO:0070936)	60	30	12.44	+	2.41	1.99E-04	5.72E-03
negative regulation of protein ubiquitination (GO:0031397)	82	37	17.01	+	2.18	2.03E-04	5.82E-03
plasma membrane invagination (GO:0099024)	141	10	29.24	-	.34	2.03E-04	5.83E-03
positive regulation of ubiquitin-dependent protein catabolic process (GO:2000060)	108	45	22.40	+	2.01	2.13E-04	6.10E-03
pre-replicative complex assembly (GO:0036388)	66	32	13.69	+	2.34	2.16E-04	6.17E-03
regulation of postsynaptic membrane potential (GO:0060078)	99	5	20.53	-	.24	2.23E-04	6.34E-03
mitotic DNA integrity checkpoint signaling (GO:0044774)	123	49	25.51	+	1.92	2.24E-04	6.36E-03
ribosomal small subunit assembly (GO:0000028)	19	15	3.94	+	3.81	2.24E-04	6.37E-03
negative regulation of G2/M transition of mitotic cell cycle (GO:0010972)	109	45	22.60	+	1.99	2.25E-04	6.37E-03
viral translation (GO:0019081)	19	15	3.94	+	3.81	2.24E-04	6.38E-03
negative regulation of cellular process (GO:0048523)	4902	1131	1016.58	+	1.11	2.26E-04	6.38E-03
internal peptidyl-lysine acetylation (GO:0018393)	116	47	24.06	+	1.95	2.26E-04	6.38E-03
metal ion homeostasis (GO:0055065)	626	87	129.82	-	.67	2.30E-04	6.48E-03
negative regulation of protein metabolic process (GO:0051248)	1112	293	230.61	+	1.27	2.32E-04	6.52E-03
